ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
1LSU, Louisiana_St,       30.4074247080,  -91.1802634353,   -6.56246,  -113403.03831, -5504361.32303,  3209404.19871, 20230517
1NSU, Northwestern,       31.7508006083,  -93.0976052668,   28.05145,  -293349.68096, -5420742.32457,  3336980.83627, 20230517
1ULM, U_Of_La_At_M,       32.5290338788,  -92.0759082079,   15.96934,  -194982.24585, -5379221.91778,  3410046.81587, 20230517
AB02, Nikolski__AK2007,   52.9706031624, -168.8546716308,  192.81288, -3776808.38751,  -744083.78241,  5068727.94920, 20230517
AB06, FalsePass_AK2005,   54.8853200440, -163.4234553380,  500.43883, -3524499.77713, -1049128.14768,  5194459.88387, 20230517
AB07, SandPoint_AK2004,   55.3492721016, -160.4767563846,   89.49129, -3425750.35795, -1214686.07628,  5223662.47974, 20230517
AB08, Mekoryuk__AK2008,   60.3848294033, -166.2008566530,   26.50880, -3068712.35175,  -753699.39825,  5521813.30911, 20230517
AB09, Razorback_AK2007,   65.6149789207, -168.0621253889,  162.07510, -2583614.88182,  -546237.00719,  5786501.66389, 20230517
AB11, Nome_AnvilAK2006,   64.5644935918, -165.3734588649,  349.44483, -2658010.54813,  -693674.85952,  5737338.43287, 20230517
AB13, ChignikLgnAK2006,   56.3073197766, -158.5037921071,  487.75432, -3299991.99449, -1299649.12394,  5283906.57551, 20230513
AB14, DillinghamAK2007,   59.1081635132, -159.0915326736,  657.64922, -3066909.74869, -1171658.30691,  5450696.49386, 20230517
AB15, Nyac_Gold_AK2006,   61.0397500537, -159.8783619725,  560.32263, -2907528.36407, -1065249.54826,  5557978.90118, 20230517
AB17, UnalakleetAK2008,   63.8863568910, -160.6947316362,  117.43113, -2656728.14566,  -930647.21925,  5704255.57209, 20230517
AB18, Kotzebue__AK2007,   66.8583607471, -162.6135090862,   37.10497, -2398929.32304,  -751157.76324,  5842257.61564, 20230517
AB21, AdakIAleutAK2006,   51.8641488766, -176.6626498295,   59.42888, -3940203.76837,  -229767.91019,  4993529.87212, 20230517
AB22, IlliamnaHPAK2006,   59.8993172711, -154.6982595477,  199.86165, -2899273.60189, -1370588.10346,  5495032.90738, 20230517
AB27, Kobuk_VallAK2007,   67.0558838595, -156.9048905969,  508.09105, -2293837.80546,  -978173.32906,  5851313.58897, 20230517
AB28, Rainy_PassAK2006,   62.0938124791, -152.8149193426, 1582.75751, -2663005.40199, -1367722.41895,  5614814.72954, 20230517
AB33, Coldfoot__AK2006,   67.2510101394, -150.1725457390,  334.76266, -2145891.37310, -1230329.44710,  5859603.53552, 20230517
AB35, Yakataga__AK2007,   60.0790685873, -142.3898791836,  536.91070, -2526854.39735, -1946651.00584,  5505341.84932, 20230517
AB36, Manley_HotAK2006,   65.0303962152, -150.7439859696,  816.52572, -2355802.86638, -1319637.84451,  5759881.46970, 20230517
AB37, Paxson2___AK2004,   62.9673221234, -145.4518844967, 1136.66748, -2394433.97833, -1648611.17742,  5659336.10293, 20230517
AB41, EagleAirptAK2006,   64.7773239065, -141.1580692380,  285.92538, -2122882.39254, -1709400.67672,  5747432.73465, 20230517
AB43, CapeSpenceAK2007,   58.1988418330, -136.6408121546,   27.23108, -2449678.83331, -2313243.00478,  5397464.31304, 20230517
AB44, SkagwayUSCAK2005,   59.5280379635, -135.2283002105,  304.45425, -2302043.55141, -2283770.86281,  5474262.05426, 20230517
AB45, SagRivrDOTAK2007,   68.7604925478, -148.8711537402,  507.01090, -1983815.67203, -1198076.76431,  5922819.06298, 20230517
AB46, ArcticVilgAK2007,   68.1206696082, -145.5679035558,  647.86849, -1966278.00934, -1347957.17333,  5896722.92313, 20230517
AB49, KlawockAirAK2006,   55.5801005155, -133.0684885194,   17.54411, -2467568.15414, -2639809.41151,  5238172.22341, 20230517
AB50, MendenhallAK2005,   58.4167740024, -134.5453038378,   51.84396, -2348976.62990, -2386558.36472,  5410237.78588, 20230517
AB51, PetersburgAK2005,   56.7976215108, -132.9135643059,   76.05527, -2383749.80101, -2564002.74621,  5313656.13924, 20230517
ABMF, Les_Abymes,_Guad,   16.2623069024,  -61.5275351902,  -25.54669,  2919785.81989, -5383744.95510,  1774604.87853, 20230517
AC02, AkhiokCorpAK2005,   56.9505861912, -154.1830496787,  126.88720, -3138667.69961, -1518436.94735,  5323007.48517, 20230517
AC03, AnchorPnt_AK2007,   59.7706351167, -151.8645345041,   19.75955, -2838820.44238, -1518047.88152,  5487673.13629, 20230517
AC06, BradleyLakAK2005,   59.7636358901, -150.8905610602,  631.56055, -2813463.95895, -1566561.08587,  5487809.07643, 20230517
AC07, Buckland__AK2007,   65.9612906370, -161.2866167026,  176.31472, -2467774.25338,  -835938.02217,  5802351.62236, 20230517
AC08, CapDouglasAK2007,   58.9287728361, -153.6447017097,  644.27162, -2957192.58488, -1465088.55379,  5440397.33906, 20230517
AC09, KayakIsl__AK2007,   59.8684795022, -144.5238539369,  368.93112, -2614063.12113, -1862951.55941,  5493455.22913, 20230517
AC11, ChickaloonAK2005,   61.8070783993, -148.3317535064,  790.94818, -2571637.87106, -1586307.74435,  5599086.78405, 20230517
AC12, ChernaburaAK2008,   54.8309569402, -159.5895628676,   84.60274, -3450877.12211, -1284085.30858,  5190636.27804, 20230517
AC15, CooperLndgAK2005,   60.4813328630, -149.7240113956,  151.56779, -2720900.36733, -1588436.53903,  5527227.80725, 20230517
AC17, DriftRiverAK2006,   60.6638995388, -152.4038473213,  882.72708, -2776807.29562, -1451442.36240,  5537859.83849, 20230517
AC18, Ushagat_IsAK2008,   58.9259558519, -152.2495328287,  214.82487, -2920685.82553, -1536677.55508,  5439867.54404, 20230517
AC20, Girdwood__AK2005,   60.9292073086, -149.3525082779,   43.78477, -2673055.18245, -1583832.48767,  5551552.27934, 20230517
AC21, PerryvilleAK2006,   55.9210838688, -159.1277189808,  170.84141, -3347143.09890, -1276294.57207,  5259665.31346, 20230517
AC23, Soldotna__AK2007,   60.4750909814, -150.8779564116,   80.89680, -2752835.98770, -1533596.36632,  5526823.60800, 20230517
AC24, KingsalmonAK2006,   58.6815700903, -156.6527567919,   36.37067, -3051338.84094, -1317097.80840,  5425614.14143, 20230517
AC25, King_Cove_AK2005,   55.0889657853, -162.3140531632,  584.27638, -3485880.63445, -1111544.41444,  5207537.08748, 20230517
AC26, Cape_Gull_AK2008,   58.2145535895, -154.1502939655,  190.20112, -3030887.62745, -1468433.56051,  5398524.84232, 20230517
AC27, AC27MNeil_AK2004,   59.2525039793, -154.1628821391,  417.54492, -2942366.51832, -1424747.89307,  5458729.00591, 20230517
AC28, NagaiIslndAK2008,   55.0784868053, -160.0491598354,  365.01315, -3440010.98493, -1248720.11159,  5206689.52253, 20230517
AC29, middleton_AK2014,   59.4295893367, -146.3399798012,   56.60993, -2706780.24188, -1802470.48494,  5468478.46805, 20230517
AC31, Bald_Head_AK2006,   64.6379735782, -162.2391267417,  228.33404, -2609008.93478,  -835696.23306,  5740742.87778, 20230517
AC32, Mt_SusitnaAK2006,   61.4731187595, -150.7369191750, 1347.77180, -2664748.76615, -1493130.29055,  5581895.75591, 20230517
AC36, MoosePointAK2008,   60.9553156044, -150.6083504370,   46.53579, -2704911.14059, -1523619.75469,  5552967.66515, 20230517
AC37, LakeClark_AK2007,   60.4396845621, -153.8653838219, 1626.61862, -2832786.88265, -1389890.82583,  5526222.95297, 20230517
AC38, Quartz_CrkAK2005,   57.7536840779, -153.3418759520,   43.91464, -3048695.58562, -1530543.31360,  5371187.33350, 20230517
AC40, PortHeidenAK2007,   56.9303485591, -158.6185713906,   39.91663, -3248413.60875, -1271824.90341,  5321705.19597, 20230517
AC41, PortMollerAK2006,   55.9086649729, -160.4073036710,  407.73902, -3376013.49356, -1201659.43493,  5259086.56695, 20230517
AC42, SanakIslndAK2007,   54.4717742763, -162.7836529818,  257.92722, -3548311.06640, -1099495.22778,  5167644.79616, 20230517
AC44, ArcticVly_AK2008,   61.2421723010, -149.5671291339,  832.19180, -2652975.34571, -1558538.00482,  5569105.08427, 20230517
AC45, SitkinakIsAK2006,   56.5644550808, -154.1809666829,  451.02352, -3171145.53685, -1534291.47518,  5299706.85633, 20230517
AC46, Skwentna_RAK2006,   61.9862664633, -151.5240038901,  619.81406, -2640426.87621, -1432202.84051,  5608343.71682, 20230517
AC47, SlopeMtn__AK2007,   60.0814480891, -152.6239456057,  922.38807, -2832480.43759, -1466716.88531,  5505808.20004, 20230517
AC48, NakedIsl__AK2007,   60.6458651206, -147.3430232322,  379.51828, -2639213.03487, -1691547.43769,  5536436.33055, 20230517
AC50, BaldyMtn__AK2007,   65.5538466994, -164.5665699183,  516.83606, -2551628.07478,  -704437.46631,  5784007.00710, 20230517
AC51, StrandlineAK2007,   61.4980804642, -151.8353496703,  957.49377, -2690563.00745, -1440530.68506,  5582880.96783, 20230517
AC52, PilotPointAK2007,   57.5672469763, -157.5742186298,   51.84718, -3169558.10341, -1308066.38326,  5360086.66081, 20230517
AC53, Willow_CrkAK2006,   61.7689707752, -150.0689559267,   57.50899, -2621488.14802, -1509313.16438,  5596432.73263, 20230517
AC59, AC59Ursus_AK2004,   59.5671946770, -153.5852017458,  308.65939, -2900773.57154, -1440890.45008,  5476476.66347, 20230517
AC61, ChickenM61AK2006,   64.0292578725, -142.0758492482,  745.40143, -2209480.80233, -1721530.09163,  5711814.10576, 20230517
AC62, DenliHwy32AK2004,   63.0836053418, -146.3127019523, 1347.16501, -2409397.88375, -1606097.03852,  5665403.95603, 20230517
AC63, ATTPS_____AK2004,   63.5024242764, -145.8472472163,  815.15680, -2361555.72205, -1602066.41055,  5685913.39101, 20230517
AC64, MtnDrumVP_AK2004,   62.7140159636, -144.3039941546,  774.60702, -2381196.24023, -1710811.38242,  5646124.49886, 20230517
AC65, Mentasta__AK2004,   62.8315106303, -143.7042227285,  735.88816, -2353756.66315, -1728739.09541,  5652082.34258, 20230517
AC66, AmchitkaIsAK2006,   51.3781281672,  179.3013210735,  106.78562, -3989021.02410,    48645.52159,  4959993.89789, 20230517
AC67, PillarMtn_AK2006,   57.7907173565, -152.4254371603,  347.34228, -3020876.39045, -1577568.70652,  5373643.63837, 20230517
AC70, Brokebits_AK2003,   63.3047094599, -148.1883254143,  810.89705, -2441773.17332, -1514652.40197,  5676041.44788, 20230517
AC71, DeltaJunc_AK2003,   64.0493031827, -145.7136253505,  364.01897, -2312459.39803, -1576647.16363,  5712449.50332, 20230517
AC72, DonnellyC_AK2002,   63.6950565466, -145.8876980477,  558.86861, -2346666.07946, -1589547.30347,  5695232.89916, 20230517
AC74, Cantwello_AK2002,   63.4643549216, -148.8072625639,  668.61969, -2444326.75391, -1479913.46197,  5683887.47896, 20230517
AC75, Hurricane_AK2002,   62.9993028395, -149.6088245871,  608.67515, -2504693.87549, -1468976.66095,  5660485.17582, 20230517
AC77, Sourdough_AK2003,   62.6880315532, -145.4262624244,  746.90727, -2416356.33404, -1665298.42807,  5644771.45787, 20230517
AC78, Tetlin_2__AK2009,   63.1134897873, -142.0279393270,  643.73501, -2280073.54653, -1779598.85639,  5666284.02471, 20230517
AC79, Montague2_AK2010,   59.9978718357, -147.4030507600,  287.75459, -2693794.34822, -1722551.26792,  5500607.77565, 20230517
AC80, YentnaRvr2AK2010,   62.3940757113, -151.7650438368, 1114.53334, -2611210.14871, -1402170.39309,  5629988.20051, 20230517
ACSB, AlisoCreekCA2013,   33.2742668868, -117.4448947476,  -12.29422, -2460183.82245, -4737087.23662,  3479422.90365, 20230517
ACSO, AlumCreek_OH2006,   40.2323609917,  -82.9815336949,  248.17684,   595828.01946, -4839733.92496,  4097876.61797, 20230517
ACSX, AlisoCreekCA2016,   33.2742668839, -117.4448947491,  -12.29339, -2460183.82298, -4737087.23732,  3479422.90384, 20230517
ADRI, Adrian,             41.9189895484,  -84.0242820545,  205.93722,   494837.97089, -4727340.11860,  4239050.32238, 20230517
AGHI, AGHI_CHIG_AK2021,   56.1950488749, -156.8018668405,  190.52860, -3269339.52952, -1401114.62247,  5276714.12408, 20230517
AGMT, AGMT_SCGN_CS1999,   34.5942818016, -116.4293816501, 1337.84790, -2339956.56424, -4707748.68405,  3601666.09290, 20230517
AGNS, AgnessRR__OR2021,   42.5527653388, -124.0591133992,   51.36950, -2635435.76978, -3898512.02696,  4291069.09299, 20230517
AHID, AHID_EBRY_ID2000,   42.7731183162, -111.0637429838, 1975.54729, -1685815.75452, -4377138.72937,  4310376.02683, 20230517
AIRS, AIR_Studios,        16.7408296846,  -62.2138548483,   84.43525,  2848125.71615, -5405118.80664,  1825410.29280, 20230517
AL30, ALDOT_3_DIV_OFF,    33.5323511584,  -86.8534156033,  148.48301,   292139.71278, -5314188.13221,  3503407.88921, 20230517
AL50, ALDOT_5_DIV_OFF,    33.1679743327,  -87.5015160681,   97.88100,   232977.63117, -5339307.05307,  3469621.18634, 20230517
AL60, ALDOT_6_DIV_OFF,    32.4113740517,  -86.2705491089,   44.70302,   350579.79393, -5378369.86699,  3399054.06400, 20230517
AL90, ALDOT_9_DIV_OFF,    30.6908307317,  -88.0317131301,  -17.35681,   188545.91794, -5486311.75348,  3236456.38018, 20230517
ALAM, Alamo,              37.3579572984, -115.1584611869, 1090.01504, -2158287.77007, -4595239.51111,  3849706.64459, 20230517
ALBH, Albert_Head,        48.3897803672, -123.4874717401,   31.78185, -2341333.08804, -3539049.53823,  4745791.28868, 20230517
ALGO, Algonquin,          45.9558006082,  -78.0713713504,  200.96601,   918129.13101, -4346071.33677,  4561977.91433, 20230511
ALPP, Alamo_PowerSCIGN,   34.8244922491, -118.6948041347,  918.11545, -2517070.15372, -4598512.65253,  3622424.71093, 20230517
ALTH, Althea--Bureau_o,   36.8896063415, -120.6697648039,   18.38791, -2605214.42674, -4392960.20543,  3807612.92681, 20230517
ANA1, ANA1_SCGN_CS2002,   34.0150087284, -119.3634759421,   22.44877, -2595092.69648, -4612419.98454,  3547839.18653, 20230517
ANAT, Anatone_WA,         46.1328636761, -117.1354293388, 1087.30399, -2019789.89785, -3941004.36275,  4576277.92033, 20230517
ANDC, ANDC_SHUM_AK2021,   55.3231993643, -160.0882460697,  370.80521, -3419830.38807, -1238754.87032,  5222242.88081, 20230517
AR27, Area_27_CPCA2013,   33.3418505036, -117.3249343387,   32.32510, -2448388.01303, -4738603.97574,  3485711.79415, 20230517
AR53, Area_53_CPCA2013,   33.3811372792, -117.4765088798,  111.05465, -2459840.05259, -4730042.67506,  3489394.45048, 20230517
ARBT, BATESVILLE,         35.7098755402,  -91.6285487507,   92.00852,  -147354.18053, -5182834.64351,  3702154.40549, 20230517
ARCM, Camden,             33.5424045867,  -92.8827335474,   25.49688,  -267628.37578, -5314759.43808,  3504269.39092, 20230511
ARFY, FAYETTEVILLE,       36.1157982569,  -94.1800486445,  349.56804,  -376023.67106, -5144995.62036,  3738785.12452, 20230517
ARHP, Hope,               33.6960554109,  -93.6005540753,   84.46369,  -333601.20819, -5301621.23993,  3518493.85369, 20230517
ARHR, Harrison,           36.1842387786,  -93.0302123668,  332.33617,  -272465.33909, -5147017.55112,  3744907.48272, 20230517
ARLI, Arlington_WA,       48.1740662156, -122.1418612035,   23.31484, -2267101.69001, -3608210.89558,  4729822.70620, 20230517
ARLN, Arlington,          45.7082050454, -120.1832714318,  120.39551, -2243186.43708, -3856769.88779,  4542744.85879, 20230517
ARM1, Arvin_Main1SCIGN,   35.2012522945, -118.9104275414,   76.28376, -2522429.90368, -4567409.02015,  3656177.90259, 20230517
ARM2, Arvin_Main2SCIGN,   35.2012599850, -118.9105623308,   76.28169, -2522440.40999, -4567402.65405,  3656178.59860, 20230517
ARML, ArmorelHS_AR2018,   35.9172821680,  -89.8028995713,   50.03812,    17789.94588, -5171398.16566,  3720791.79760, 20230517
ARPG, Patagould,          36.0591141565,  -90.5187947455,   68.38364,   -46741.37471, -5161984.25917,  3733536.50693, 20230517
ASBU, ASBU_G06,           43.8205646970, -121.3685079991, 1508.86905, -2399895.35854, -3936523.47853,  4394773.11207, 20230515
ASHL, ASHLAND,            42.1806905109, -122.6701714398,  608.73111, -2555421.74936, -3985040.40293,  4260906.44963, 20230517
ASKY, Astrup_Kystland,    75.7261293910,  -58.2573558243,  687.49539,   830041.48944, -1341717.02332,  6159913.08135, 20230517
ASUB, ASU-Boone,          36.2141312113,  -81.6818541673,  956.59192,   745448.90080, -5098561.76252,  3747953.10663, 20230517
AT01, StMichael_AK2018,   63.4840448108, -162.0064013316,   21.65128, -2715528.58431,  -881993.31454,  5684288.87383, 20230517
ATT3, ATTECO3_RDOM2019,   18.5069343678,  -69.9791716331,   29.55743,  2071412.36107, -5684727.92909,  2011679.44845, 20230517
ATW2, ATW2_AKDA_AK2000,   61.5977532148, -149.1322968528,   97.12562, -2610899.42285, -1560592.85998,  5587416.75898, 20230517
AV01, AV01AUGST_AK2004,   59.3585272408, -153.4608023189,  487.28702, -2915632.82616, -1456172.26266,  5464818.46583, 20230517
AV04, AV04AUGST_AK2004,   59.3625796782, -153.4446740627,  915.94486, -2915070.74080, -1456916.92702,  5465417.37732, 20230517
AV07, AKU_NWSlopAK2005,   54.1629347278, -166.0385385604,  521.13240, -3632263.05069,  -903030.29978,  5147805.32492, 20230512
AV09, Haystack__AK2004,   53.8756323429, -166.5418377117,  105.72073, -3664985.81096,  -877055.29722,  5128680.60311, 20230517
AV11, Augs_MoundAK2006,   59.3706243880, -153.3546869487,  115.00242, -2911724.89501, -1460964.57839,  5465184.89577, 20230517
AV16, AugvLagoonAK2006,   59.3859076591, -153.5350463936,   25.45611, -2914956.91853, -1451118.35402,  5465975.08678, 20230517
AV17, AugustinNWAK2006,   59.4039433013, -153.4514465841,   29.46550, -2911291.34981, -1454597.97826,  5467001.46407, 20230517
AV18, AugvNorth_AK2006,   59.3804304912, -153.4368349576,  367.17426, -2913090.61070, -1456425.43634,  5465958.40324, 20230517
AV24, WestdahlNWAK2008,   54.5899826424, -164.7548051323,  481.82327, -3573815.34703,  -974011.90539,  5175462.90221, 20230517
AV26, WestdahlNEAK2008,   54.5716529433, -164.5804649459,  577.72157, -3572491.71123,  -985338.74335,  5174358.44142, 20230517
AV34, IsanotskiSAK2008,   54.7249070746, -163.7129202282,  636.44070, -3543838.75239, -1035423.55832,  5184277.96752, 20230517
AV35, TugamakRngAK2007,   54.8466929597, -164.3869173217,  647.01156, -3545110.72740,  -990685.33452,  5192104.91573, 20230517
AV36, ShshldinNWAK2008,   54.7717924052, -164.1268047719,  648.44084, -3547132.38241, -1008633.36272,  5187300.44261, 20230517
AV38, IsanotskiNAK2008,   54.8314668161, -163.7808746514,  492.37003, -3535678.86354, -1028489.61818,  5191002.30526, 20230517
AV39, ShishaldinAK2008,   54.8113399408, -163.9984673289,  797.41184, -3541488.73591, -1015608.07932,  5189960.67474, 20230517
AVCA, Avoca,              43.0609143870,  -82.6877464936,  200.47827,   594061.86878, -4629522.46243,  4332585.39012, 20230517
AVRY, AVRY_SCGN_CS1998,   34.4683022376, -117.1539757387,  888.92553, -2402751.92691, -4684501.57553,  3589896.62763, 20230517
AZAM, Sopori_Elem_Sch,    31.7300319240, -111.0713616813,  928.94959, -1952484.61798, -5067522.27650,  3335496.16481, 20230517
AZFL, NAU_FLAGSTAFF,      35.1773097700, -111.6570400466, 2087.98541, -1926745.70277, -4852285.22088,  3655165.98284, 20230517
AZGB, Gila_County,        33.3953581463, -110.7714561755, 1097.80222, -1890728.12182, -4984856.36979,  3491254.53922, 20230517
AZPG, City_of_Page,       36.9086683421, -111.4626918367, 1301.97202, -1868673.99565, -4752978.96619,  3810075.46478, 20230517
AZPS, PRESCOTT,           34.6085643223, -112.4607359309, 1574.27100, -2008250.12354, -4857757.73405,  3603104.80863, 20230517
AZRV, Round_Valley,       34.1319307878, -109.2810232919, 2110.65680, -1745713.45752, -4990272.98507,  3559753.75237, 20230517
AZRY, Anza_GravelSCIGN,   33.5400744951, -116.6297022691, 1265.71162, -2385740.76742, -4758051.79242,  3504739.22683, 20230517
AZSF, Safford,            32.8020359425, -109.7119156020,  896.99368, -1810293.09592, -5052641.34250,  3436011.15528, 20230517
AZSV, Star_Valley,        34.2649948035, -111.2405170961, 1465.27528, -1912125.02169, -4919431.53201,  3571602.58378, 20230517
AZU1, AZU1_SCGN_CS1996,   34.1260207632, -117.8964927179,  144.75487, -2472979.85509, -4671337.62539,  3558108.00793, 20230517
BACO, Baltimore_County,   39.3994637089,  -76.6067962666,  127.02403,  1143198.26639, -4801170.16733,  4026765.08574, 20230517
BAIE, BAIE_COMEAU,_Can,   49.1868271092,  -68.2633311852,   27.56752,  1546823.06832, -3879765.22441,  4804185.17796, 20230517
BAKE, Baker_Lake,_Cana,   64.3178194548,  -96.0023505134,    4.64207,  -289834.28150, -2756501.18004,  5725162.40383, 20230517
BALD, Bald_Mountain,      37.7834277085, -118.9013951887, 2749.58352, -2440377.29457, -4420481.42584,  3888158.20111, 20230517
BAMF, Bamfield,_Canada,   48.8353286505, -125.1351051954,   10.82094, -2420721.38073, -3439856.13142,  4778532.77486, 20230517
BAR1, BAR1_SCGN_CS2002,   33.4804552976, -119.0297426430,   14.81156, -2584163.49112, -4656252.33547,  3498534.58561, 20230517
BARA, Barahona,           18.2086996001,  -71.0982268231,    6.76627,  1963355.71065, -5733913.71180,  1980342.18615, 20230517
BARH, Bar_Harbor,         44.3950488189,  -68.2216933133,    6.77336,  1693644.60464, -4239067.61437,  4439567.32116, 20230517
BAYR, Saginaw,            43.4462302797,  -83.8917344875,  148.85507,   493529.81206, -4611778.15615,  4363728.87029, 20230517
BBDM, BBDM_SCGN_CS2000,   34.5822015705, -119.9815200436,  204.90010, -2627052.28660, -4553579.20577,  3599919.57442, 20230517
BCOV, Beaver_Cove,        50.5442801429, -126.8426442613,   37.40063, -2435249.49659, -3250219.02079,  4901513.09064, 20230517
BCWR, Bitter_CreeSCIGN,   34.9204636869, -119.4058546724, 1332.91717, -2571120.89934, -4561914.49021,  3631398.42236, 20230517
BDRY, BDRY,               48.9866981281, -117.3499282844,  601.79467, -1926798.41059, -3725135.22847,  4790042.20082, 20230517
BELI, BELI_2PS,           48.7552679055, -122.4789738062,   10.56498, -2262309.02543, -3553991.29413,  4772667.56817, 20230517
BEMT, BEMT_SCGN_CS2001,   34.0005337306, -115.9981934598, 1373.65719, -2320746.39536, -4758616.04963,  3547263.79473, 20230517
BEND, BEND,               44.0571581912, -121.3151880377, 1095.83132, -2386593.71158, -3922914.11587,  4413419.95725, 20230511
BEPK, BEPK_SCGN_CS2000,   35.8783885085, -118.0740971685, 2471.10905, -2435855.81381, -4566920.54124,  3718714.82642, 20230517
BET1, Bethel_Waas,        60.7879139036, -161.8417251509,   51.72846, -2965384.98290,  -972576.59103,  5543892.41603, 20230517
BGGY, BGGY__AntiguaBGG,   17.0451207174,  -61.8611625593,  356.31120,  2876851.09744, -5379084.61923,  1857712.57217, 20230517
BGIS, Bell_GardenSCIGN,   33.9671205989, -118.1597027922,    2.79018, -2499014.83781, -4668524.21225,  3543423.99459, 20230517
BIGD, Grand_Coulee_WA,    47.9332931579, -118.9888346248,  493.33122, -2075010.44704, -3745138.94056,  4712276.33777, 20230517
BIJA, Bijagual,            9.7499755884,  -84.5768675349,  555.66433,   594201.37285, -6259021.12948,  1073097.95499, 20230517
BILL, BILL_SCGN_CS1997,   33.5782456521, -117.0646057163,  470.06071, -2420420.98229, -4737131.12197,  3507827.90974, 20230517
BILS, BILS,               47.5393447097, -124.2525260105,   38.39839, -2427910.91316, -3565526.87496,  4682480.25674, 20230517
BKAP, BKAP_SCGN_CS2000,   35.2870468193, -116.0804268212,  252.05498, -2291496.32091, -4681573.35081,  3664053.27906, 20230517
BKMS, BKMS_SCGN_CS1998,   33.9622608231, -118.0947045734,   11.02145, -2493862.14392, -4671627.86965,  3542981.51038, 20230517
BLA1, BlacksburgVA2006,   37.2113487988,  -80.4205095817,  605.71095,   846444.81813, -5015399.78135,  3836465.71430, 20230517
BLAS, Blaasor,            79.5386090783,  -22.9747250024,  484.08951,  1069782.33434,  -453538.81970,  6250868.78754, 20230517
BLW2, BLW2_EBRY_WY2003,   42.7671263480, -109.5578038328, 2215.59289, -1570410.13310, -4420523.20719,  4310050.23724, 20230517
BLYT, Blythe_AirpSCIGN,   33.6104141598, -114.7148531372,   85.94102, -2223206.94436, -4830299.77908,  3510587.53835, 20230517
BMHL, BMHL_SCGN_CS1999,   34.2514446045, -116.0529803524,  722.66749, -2318199.94962, -4741880.63409,  3569942.02635, 20230517
BNZA, BNZA_KIVU_RW2022,   -1.8977901232,   29.2972915064, 1709.00844,  5560783.87442,  3120220.72963,  -209865.76651, 20230517
BOGT, Bogota_Colombia,     4.6400752882,  -74.0809398442, 2576.21244,  1744398.84839, -6116037.00545,   512731.94905, 20230517
BOMG, Bombay_Beach,       33.3646287179, -115.7297075728,  -84.20927, -2314878.88466, -4803587.63007,  3487757.96640, 20230517
BON2, Bongo,               9.7645308489,  -85.2025082766,   28.38272,   525755.70195, -6264346.50541,  1074595.28127, 20230517
BRAN, Brand_BasinSCIGN,   34.1848969127, -118.2770560744,  246.25603, -2502255.19175, -4651653.71025,  3563569.55075, 20230517
BREW, Brewster_VLBA,      48.1315227673, -119.6826362157,  238.60951, -2112007.35952, -3705351.82445,  4726827.05311, 20230517
BRTW, Bartow,             27.9496285651,  -81.7828398558,   12.06211,   805863.10070, -5580462.74701,  2971581.06499, 20230517
BSMK, BSMK_BISMARCK,      46.8211254864, -100.8166935763,  551.19625,  -820592.46637, -4294897.44990,  4628582.29884, 20230517
BSRY, BSRY_SCGN_CS1998,   34.9186127636, -117.0119961562,  613.50850, -2378118.00486, -4664904.58096,  3630818.21897, 20230517
BTDM, BTDM_SCGN_CS1999,   34.2928081439, -118.1882319807,  678.26516, -2492027.92455, -4649905.43330,  3573709.12253, 20230517
BUEG, Buellton_FS#31,     34.6128510019, -120.1964111282,   74.72868, -2643087.30158, -4541933.03947,  3602644.50369, 20230517
BURN, BURN_PNGA_OR1998,   42.7795004872, -117.8435321321, 1180.90007, -2190267.24099, -4146571.93805,  4310356.88348, 20230517
BVHS, Boothville,         29.3368080218,  -89.4064003835,  -15.67426,    57650.02636, -5564331.45664,  3106490.83908, 20230517
BVPP, BVPP_SCGN_CS2000,   35.1572772411, -119.3475114798,  123.05583, -2558595.25808, -4550517.27656,  3652217.11413, 20230517
BYAH, BYAH_KIVU_RW2022,   -1.6627041559,   29.2646130715, 1596.23234,  5563168.91350,  3117388.41827,  -183873.33775, 20230517
CA99, Casa-1999,          37.6445637881, -118.8966947450, 2391.56796, -2444435.64245, -4428691.34311,  3875741.71750, 20230517
CABA, Caballito,          10.2378736460,  -85.3435336297,   26.93413,   509597.07597, -6256557.67444,  1126154.91653, 20230517
CABL, CABL_PNGA_OR1997,   42.8360994179, -124.5633466449,   37.86353, -2657528.51627, -3857584.22201,  4314193.34286, 20230517
CACT, Cactus_CitySCIGN,   33.6551353971, -115.9899522206,  518.47843, -2329098.14590, -4777485.09259,  3514957.26366, 20230517
CAGS, Gatineau,           45.5850211551,  -75.8073311313,  234.99448,  1096348.81037, -4335060.67228,  4533255.26630, 20230517
CALU, Calumet_Harbor,     41.7298416242,  -87.5384488681,  147.20641,   204743.45709, -4762735.77360,  4223355.26498, 20230509
CASE, CaseSpgsFSCA2013,   33.4553523219, -117.4039871530,  776.50554, -2452020.02503, -4729620.57628,  3496631.89211, 20230517
CAST, CAST_BRGN_UT1997,   39.1910213301, -110.6773156109, 2245.04436, -1748465.26150, -4632725.30424,  4010194.08648, 20230517
CAT3, CAT3_SCGN_CS2008,   33.4457648868, -118.4830113315,    5.12036, -2540623.25791, -4682556.40939,  3495319.40447, 20230517
