ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
P315, LeggettSchCN2005,   39.8635844260, -123.7169019451,  257.95278, -2721398.84787, -4077958.84544,  4066536.30494, 20230517
P316, RequaYurokCN2006,   41.5591331435, -124.0861460485,  234.97449, -2678784.91291, -3958610.25436,  4209244.71324, 20230517
P317, AdanacRnchCN2006,   39.9056708564, -123.5518550761, 1118.66949, -2708349.26740, -4083834.11002,  4070674.35668, 20230517
P318, WillitsAirCN2006,   39.4523700551, -123.3718583676,  594.95509, -2712963.31045, -4118825.40580,  4031599.75408, 20230517
P320, EmandalFrmCN2008,   39.4928275562, -123.1867900130,  392.44085, -2697996.47550, -4125046.19442,  4034938.61254, 20230517
P321, Updegraph_CN2008,   39.8972210730, -123.3949514236, 1133.66527, -2697493.24706, -4091747.72009,  4069964.10745, 20230517
P322, LightnCampCN2008,   39.9621438158, -123.1824851357, 1433.93438, -2679894.79129, -4098042.11145,  4075685.72859, 20230517
P324, BlocksburgCN2006,   40.2568384402, -123.6557408597,  509.36525, -2701575.43887, -4057628.17765,  4100120.08333, 20230517
P325, SchoolHousCN2006,   41.1516702332, -123.8826088435,  914.59969, -2681660.41951, -3993349.49722,  4175722.58907, 20230517
P326, ShowersMtnCN2006,   40.5753139676, -123.6989330848, 1261.70597, -2692228.48573, -4036989.16715,  4127536.44661, 20230517
P327, Dinsmore__CN2008,   40.4788604874, -123.5730674187,  710.07753, -2686971.19085, -4048344.00897,  4119035.57715, 20230517
P329, StewartRchCN2007,   40.0822148954, -123.4520501925, 1034.63092, -2694249.90752, -4077978.51022,  4085640.58447, 20230517
P330, RedMtnHeliCN2007,   40.3240687719, -123.1355851162, 1653.01800, -2662465.29470, -4078674.03844,  4106554.93818, 20230517
P331, EagleRock_CN2007,   40.7329143275, -123.3241457525, 1541.99526, -2659615.60777, -4045161.79015,  4140999.28107, 20230517
P332, HayforkAirCN2005,   40.5466503640, -123.1745072784,  684.49892, -2656058.60922, -4062827.19135,  4124742.60194, 20230517
P334, Sheetiron_CN2007,   39.4935918631, -122.7358752385, 1936.24557, -2666064.41819, -4147108.05121,  4035985.94812, 20230515
P335, BlackButteCN2008,   39.7261898165, -122.8736407502, 2229.49874, -2667211.12373, -4127042.63628,  4056074.83495, 20230517
P336, HubbardRdgCN2007,   39.5280798634, -122.4304873132,  286.73473, -2641933.33199, -4158128.57862,  4037891.12545, 20230517
P337, PattymocusCN2007,   40.2961887114, -122.8688081541, 1193.34602, -2644342.58072, -4092414.69839,  4103896.30823, 20230517
P338, WeavrvlAirCN2005,   40.7475528474, -122.9230317637,  672.22226, -2630296.56294, -4062237.98466,  4141663.52687, 20230517
P339, Valentine_CN2007,   40.0341104866, -122.6682531568,  979.57435, -2640046.47335, -4117311.38765,  4081516.31214, 20230517
P341, WhiskytownCN2005,   40.6506560330, -122.6069035168,  406.84902, -2611516.27610, -4082430.38801,  4133331.99793, 20230517
P343, ChinaPeak_CN2007,   40.8871280671, -123.3342130869, 1617.47866, -2654205.73458, -4035388.80269,  4154013.76821, 20230517
P344, VinaHelitkCN2006,   39.9291229407, -122.0279752413,   49.76819, -2597466.61324, -4152302.74557,  4071985.80210, 20230517
P345, HookerDomeCN2005,   40.2712343006, -122.2708099415,  134.07640, -2602011.88216, -4120622.18753,  4101097.37506, 20230517
P346, BuzzardRstCN2007,   39.7947096954, -120.8674673724, 2037.34875, -2518527.15328, -4213579.79004,  4061802.18094, 20230517
P347, AdinCTYardCN2007,   41.1833428371, -120.9484646371, 1268.82443, -2472679.06821, -4123626.00790,  4178604.12591, 20230517
P348, HatchetMtnCN2005,   40.9055454948, -121.8280062815, 1668.06667, -2546531.31315, -4102655.44771,  4155593.31243, 20230517
P349, WonderlandCN2005,   40.7310852635, -122.3193543870,  275.39210, -2587828.33889, -4090479.76043,  4140018.85838, 20230517
P350, SmokyDome_ID2008,   43.5327558972, -114.8628414933, 2388.35392, -1947982.74204, -4203706.15540,  4372245.90785, 20230517
P351, Galena_Su_ID2008,   43.8744137081, -114.7191652588, 2692.60815, -1926555.19503, -4184943.48661,  4399909.50759, 20230517
P353, SwensenButID2008,   44.0545376153, -113.9788038058, 2041.01682, -1866479.94875, -4196359.87714,  4413867.88836, 20230517
P354, SageCreek_ID2006,   44.1085103558, -113.9789431606, 2000.29676, -1864782.19140, -4192515.39077,  4418148.96120, 20230517
P355, BorahPeak_ID2008,   44.2179203129, -113.7220895818, 2329.22520, -1842655.02684, -4193292.04253,  4427102.10928, 20230517
P356, GTNPUhlHilWY2007,   43.8166361008, -110.4891139637, 2227.74198, -1614060.18331, -4319501.76919,  4394955.79992, 20230517
P357, ElkhornCrkID2008,   44.2271043259, -113.5818939292, 2295.35281, -1832094.50283, -4197113.44531,  4427810.07565, 20230517
P358, LemhiGulchID2007,   44.4018962163, -113.2406669755, 2419.39204, -1801745.07730, -4195559.44856,  4441799.04391, 20230517
P359, SwanValleyID2007,   43.4824893581, -111.5295028089, 2116.45751, -1701601.99028, -4313253.81993,  4368006.76813, 20230517
P360, HLFIslParkID2005,   44.3178503397, -111.4506803319, 1857.85150, -1672054.90541, -4255497.25968,  4434727.07533, 20230517
P362, BosleyButtOR2007,   42.2091040225, -124.2257900087, 1012.42443, -2661638.91370, -3912693.16662,  4263516.12437, 20230517
P364, BandonArptOR2007,   43.0903281980, -124.4092910190,    6.47680, -2636256.51391, -3848816.53733,  4334839.83712, 20230517
P365, SWOregnCC_OR2007,   43.3955184474, -124.2534837019,   27.11851, -2612714.56341, -3836783.81699,  4359552.93082, 20230517
P366, Dean_Mtn__OR2008,   43.6143107100, -123.9795950214,  529.11543, -2585194.29450, -3835654.02164,  4377530.51672, 20230517
P367, NewprtAir_OR2007,   44.5852463622, -124.0615717547,   22.93153, -2548424.66107, -3769450.81202,  4454655.83667, 20230517
P368, Grants035GOR2006,   42.5035244341, -123.3834222926,  319.45066, -2591421.48584, -3932572.37790,  4287219.20174, 20230517
P370, AshlandAirOR2005,   42.1909867635, -122.6563738356,  555.06065, -2554026.10271, -3984975.51310,  4261717.91549, 20230517
P371, Lone_Rock_OR2005,   43.3632733518, -123.0579012378, 1198.07549, -2533896.53289, -3893239.40294,  4357753.13310, 20230517
P372, EnterpriseOR2007,   45.4281366216, -117.2516596770, 1208.31626, -2053528.15466, -3986887.57566,  4521728.27187, 20230517
P373, BaldyRanchOR2005,   43.6225188794, -123.3332763108,  169.93386, -2541274.44782, -3863828.46126,  4377942.98941, 20230517
P374, StoutAlseaOR2006,   44.3819256215, -123.5906414714,   73.24014, -2526135.39698, -3803487.09820,  4438571.72649, 20230517
