Year,RO,HR,Grain,Rice,Cotton,Sugar Beets,Corn,Dry Beans, Safflower,Other Field Crops, Alfalfa,Pasture,Tomato Processing,Tomato Fresh,Cucurbits, Onions & Garlic, Potatoes,Truck Crops, Almonds & Pistachios, Other Deciduous, Citrus & Subtropical, Vineyard,Total AW
2018,SCRO,06_San Joaquin River,111818.76,13352.69,248725.64,0,373866.23,16958.5,399.64,2071.89,396435.16,262683.64,125314.5,0,30960.03,3878.41,58344.34,38686.68,2369659.53,351632.39,31942.59,270134.73,4706865.35
2018,SCRO,07_Tulare Lake,248843.79,0,685320.51,0,608714.04,22779.73,95523.55,4797.65,684711.46,105945.79,230802.95,0,62253.4,47159.17,30685.88,159705.77,3573078.64,961298.49,933458.62,1218431.29,9673510.73
2019,SCRO,03_Central Coast,29092.5,0,0,0,387.44,538.82,1999.77,0,8155.58,30992.13,1331.68,0,523.08,4900.85,0,402819.03,9239.43,22949.51,24022.96,252530.38,789483.16
2019,SCRO,06_San Joaquin River,54381.01,13671.74,236047.4,0,374451.19,15514.3,806.85,2020.18,359861.83,241940.62,106063.63,0,18779.81,2528.69,49929.85,36763.87,2113268.31,373705.08,26915.54,244817.59,4271467.49
2019,SCRO,07_Tulare Lake,147753.22,0,634297.68,0,632345.91,20621.95,65457.56,8323.97,578350.27,91624.45,203512.69,0,42853.07,43114.93,25785.54,158737.8,3287697.63,891159.53,809042.07,1176184.28,8816862.55
2020,SCRO,03_Central Coast,20791.87,0,0,0,142.89,824.36,3187.64,267.61,7524.1,21196.99,1134.92,0,372.02,4870.65,2141.93,367839.5,10521.73,25197.59,26466.86,262516.67,754997.33
2020,SCRO,06_San Joaquin River,132121.63,15397.77,179857.16,0,371220.78,11034.68,0,4092.12,351443.91,206993.62,142708.7,0,24297.35,4148.35,0,40936.16,2351509.33,304191.22,32601.33,290599.31,4463153.42
2020,SCRO,07_Tulare Lake,220541.54,0,447945.06,0,560392.09,8411.32,31271.92,5830.3,593050.12,62029.32,254354.51,0,46410.74,57454.9,0,156194.46,3564692.94,726433.38,881126.47,1204245.28,8820384.36
2010,NRO,01_North Coast,108612.64,131.91,0,0,32.61,2.48,0,1411.47,185847.91,310623.46,0,0,6.02,6747.87,17331.12,13905.44,10.74,469,0,299.78,645432.44
2010,NRO,05_Sacramento River,33535.66,1458237.41,6029.44,0,35490.97,7252.28,1206.47,12257.45,184305.05,588125.69,21155.08,0,13280.89,5253.95,0,6154.95,327675.06,305587.41,60880.87,26724.25,3093152.87
2010,NRO,08_North Lahontan,8982.79,44649.79,0,0,0,285.36,956.34,0,97005.26,192673.16,0,0,0,814.82,0,1118.65,0,15.9,0,0,346502.07
2010,NCRO,01_North Coast,113.51,0,0,0,215.07,0,0,3932.28,0,43979.1,0,0,9.08,0,0,1402.24,0,10985.06,805.1,38260.55,99701.99
2010,NCRO,02_San Francisco Bay,654.98,0,0,0,714.66,296.6,235.8,168.31,186.33,25240.27,37.8,3.81,602.29,204.19,0,12072.65,555.9,4665.2,1706.89,46416.3,93761.96
2010,NCRO,03_Central Coast,28.67,0,0,0,1180.45,1.06,0,0,391.09,1121.58,1994.93,953.68,337.36,728.96,0,14768.3,0,1440.97,0,785.7,23732.73
2010,NCRO,05_Sacramento River,88399.47,1127263.25,2232.63,0,169561.97,36740.99,14681.99,93028.04,445206.34,620196.29,142934.32,6285.35,35696.1,6774.76,0,18611.12,67770.16,420699.04,9768.38,26910.5,3332760.69
2010,NCRO,06_San Joaquin River,28170.8,34570.52,0,0,335733.12,25125.74,15640.44,63454.61,325033.67,191733.14,107837.72,13934.49,14546.27,3905.98,7056.59,42322.15,163025.67,314648.52,14885.01,124304.47,1825928.89
2010,NCRO,08_North Lahontan,0,0,0,0,0,0,0,0,14099.72,157034.97,0,0,0,0,0,0,0,0,0,0,171134.68
2010,SCRO,03_Central Coast,727.19,0,0,0,405.38,1237.54,1254.97,4463.2,1570.26,16968.9,4623.63,1736.45,431.32,9409.68,0,327142.44,0,13410.58,2009.96,86177.42,471568.92
2010,SCRO,06_San Joaquin River,27329.85,35517.99,188295.97,471.1,545531.3,72600.48,4378.98,548301.78,781139.38,335350.74,148703.6,34419.44,37433.31,12264,279.04,75685.2,1232494.26,279500.34,16310.76,234962.52,4610970.05
2010,SCRO,07_Tulare Lake,339360.77,0,660173.46,845.2,1073218.59,50596.1,19011.52,761212.54,1566725.96,223838.51,313893.16,9339.38,48658.89,136978.79,24147.64,119901.78,2020286.61,824042.36,726963.54,906813.12,9826007.92
